epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
26,051800,2.0091,1.9923,0.0000,0.0000,0.0000,0.2012,0.7864
27,052000,1.6219,1.5745,0.0000,0.0000,0.0000,0.1796,0.5588
27,052200,1.7249,1.6574,0.0000,0.0000,0.0000,0.2166,0.6343
27,052400,2.1676,2.1004,0.0255,1.4125,-0.0000,0.0000,0.0000
27,052600,1.9572,1.8787,0.0000,0.0000,0.0000,0.1261,0.8374
27,052800,1.6003,1.5566,0.0000,0.0000,0.0000,0.1921,0.5508
27,053000,2.1012,2.0898,0.0000,0.0000,0.0000,0.2546,0.6436
27,053200,2.1154,2.0892,0.0194,1.5417,0.0000,0.0000,0.0000
27,053400,2.0965,1.9969,0.0375,1.8235,0.0000,0.0000,0.0000
27,053600,2.0711,2.0140,0.0358,1.1407,0.0000,0.0000,0.0000
28,053800,1.5019,1.4868,0.0000,0.0000,0.0000,0.3723,0.6732
28,054000,1.9837,1.9351,0.0000,0.0000,0.0000,0.1350,0.5575
28,054200,1.4730,1.4431,0.0000,0.0000,0.0000,0.0898,0.4337
28,054400,1.9093,1.7718,0.0212,2.0982,0.0000,0.0000,0.0000
28,054600,2.1224,2.0124,0.0416,1.8995,0.0000,0.0000,0.0000
28,054800,2.0556,2.0080,0.0000,0.0000,0.0000,0.0984,0.9045
28,055000,2.1210,2.0913,0.0000,0.0000,0.0000,0.0859,0.9513
28,055200,1.8444,1.7927,0.0000,0.0000,0.0000,0.2358,0.6583
28,055400,1.8322,1.7861,0.0000,0.0000,0.0000,0.1993,0.8022
28,055600,1.8862,1.8069,0.0000,0.0000,0.0000,0.1312,0.6243
29,055800,1.9225,1.8015,0.0318,1.6429,0.0000,0.0000,0.0000
29,056000,1.7235,1.6878,0.0000,0.0000,0.0000,0.2449,0.8529
29,056200,1.8780,1.7519,0.0308,1.7618,0.0000,0.0000,0.0000
29,056400,1.7390,1.7208,0.0000,0.0000,0.0000,0.0896,0.4949
29,056600,1.9724,1.9836,0.0213,1.4154,0.0000,0.0000,0.0000
29,056800,1.7263,1.7061,0.0000,0.0000,0.0000,0.1635,0.7854
29,057000,2.1979,2.1374,0.0000,0.0000,0.0000,0.1387,0.5722
29,057200,1.8468,1.7443,0.0339,1.2497,0.0000,0.0000,0.0000
29,057400,2.1105,2.0164,0.0247,1.4421,0.0000,0.0000,0.0000
29,057600,1.8278,1.7929,0.0630,1.4517,0.0000,0.0000,0.0000
30,057800,1.6433,1.5430,0.0272,1.5244,0.0000,0.0000,0.0000
30,058000,1.7210,1.6898,0.0000,0.0000,0.0000,0.1174,0.5608
30,058200,1.9570,1.9214,0.0000,0.0000,0.0000,0.1746,0.7795
30,058400,1.8850,1.7865,0.0259,1.7189,-0.0000,0.0000,0.0000
30,058600,1.8696,1.8122,0.0000,0.0000,0.0000,0.1433,0.7674
30,058800,2.0813,1.9623,0.0697,1.5597,0.0000,0.0000,0.0000
30,059000,1.8665,1.8131,0.0374,1.3414,-0.0000,0.0000,0.0000
30,059200,1.8547,1.7968,0.0000,0.0000,0.0000,0.2905,0.7082
30,059400,1.8887,1.8555,0.0000,0.0000,0.0000,0.0757,0.7570
31,059600,1.7322,1.7159,0.0000,0.0000,0.0000,0.1573,0.1989
31,059800,1.7241,1.7031,0.0000,0.0000,0.0000,0.2711,0.7630
31,060000,1.6383,1.5776,0.0000,0.0000,0.0000,0.2418,0.7742
31,060200,1.8629,1.7461,0.0485,2.1724,0.0000,0.0000,0.0000
31,060400,1.7671,1.7070,0.0290,1.4588,0.0000,0.0000,0.0000
31,060600,2.0648,2.0323,0.0000,0.0000,0.0000,0.1803,0.7287
31,060800,1.9444,1.9146,0.0000,0.0000,0.0000,0.1389,0.3793
31,061000,1.9494,1.8990,0.0000,0.0000,0.0000,0.1150,0.4529
31,061200,2.0012,1.8786,0.0123,1.5377,0.0000,0.0000,0.0000
31,061400,1.8030,1.7775,0.0000,0.0000,0.0000,0.2025,0.4583
32,061600,1.7083,1.6808,0.0000,0.0000,0.0000,0.1475,0.5276
32,061800,2.0690,2.0016,0.0307,1.5613,0.0000,0.0000,0.0000
32,062000,1.6074,1.5816,0.0000,0.0000,0.0000,0.0739,0.4248
32,062200,1.7312,1.6488,0.0000,0.0000,0.0000,0.1727,0.4858
32,062400,1.8968,1.8191,0.0000,0.0000,0.0000,0.2048,0.5285
32,062600,1.7990,1.7353,0.0283,1.7052,0.0000,0.0000,0.0000
32,062800,1.8095,1.7668,0.0252,1.5976,0.0000,0.0000,0.0000
32,063000,1.8018,1.7819,0.0000,0.0000,0.0000,0.1841,0.7452
32,063200,1.8761,1.7864,0.0433,1.5063,0.0000,0.0000,0.0000
33,063400,1.8993,1.8544,0.0381,1.4115,0.0000,0.0000,0.0000
33,063600,1.5943,1.5815,0.0000,0.0000,0.0000,0.1612,0.3445
33,063800,1.9123,1.8862,0.0000,0.0000,0.0000,0.1239,0.3576
33,064000,1.8396,1.7832,0.0000,0.0000,0.0000,0.0763,0.6083
33,064200,1.6968,1.6441,0.0206,1.6828,0.0000,0.0000,0.0000
33,064400,1.9041,1.8730,0.0000,0.0000,0.0000,0.0775,0.3738
33,064600,1.8737,1.8547,0.0000,0.0000,0.0000,0.4126,0.4165
33,064800,1.9870,1.9679,0.0000,0.0000,0.0000,0.1136,0.4679
33,065000,2.1307,2.0388,0.0385,1.9143,0.0000,0.0000,0.0000
33,065200,1.9002,1.7961,0.0235,1.8525,0.0000,0.0000,0.0000
34,065400,1.9019,1.8486,0.0716,1.7545,-0.0000,0.0000,0.0000
34,065600,1.5854,1.5250,0.0000,0.0000,0.0000,0.1666,0.5011
34,065800,1.8999,1.8073,0.0449,1.4363,0.0000,0.0000,0.0000
34,066000,1.6528,1.6282,0.0000,0.0000,0.0000,0.1066,0.4730
34,066200,1.8628,1.8528,0.0000,0.0000,0.0000,0.3043,0.5102
34,066400,1.9903,1.9625,0.0000,0.0000,0.0000,0.2330,0.6391
34,066600,1.7916,1.7310,0.0181,1.4139,0.0000,0.0000,0.0000
34,066800,2.0877,2.0222,0.0285,1.9244,0.0000,0.0000,0.0000
34,067000,1.7497,1.7014,0.0489,1.3915,0.0000,0.0000,0.0000
34,067200,1.7537,1.7343,0.0000,0.0000,0.0000,0.1795,0.3561
35,067400,1.6264,1.5362,0.0450,1.4159,0.0000,0.0000,0.0000
35,067600,2.2451,2.1862,0.0247,1.4155,0.0000,0.0000,0.0000
35,067800,1.8469,1.8123,0.0137,1.4705,0.0000,0.0000,0.0000
35,068000,2.1884,2.1189,0.0495,1.4581,0.0000,0.0000,0.0000
35,068200,2.0655,2.0054,0.0371,1.2938,0.0000,0.0000,0.0000
35,068400,1.9699,1.8784,0.0297,1.7534,0.0000,0.0000,0.0000
35,068600,2.0232,1.9396,0.0380,1.7908,0.0000,0.0000,0.0000
